userid,expected-time-to-completion,memory,priority,arrival-time
172,2,3,2,1013
763,3,34,2,1015
763,5,6,2,1015
763,1,20,2,1017
763,16,27,2,1019
763,3,39,2,1022
763,10,38,2,1024
763,4,4,2,1029
763,1,14,2,1031
763,2,24,2,1034
763,5,20,2,1038
763,1,48,2,1041
763,2,72,2,1042
134,196,354,3,1043
853,6,22,2,1043
853,1,47,2,1048
853,7,53,2,1050
853,6,52,2,1053
16,2,1,2,1055
16,2,17,2,1058
16,2,5,2,1058
887,9,6,2,1062
887,1,37,2,1063
887,4,14,2,1066
658,9,25,2,1066
658,1,21,2,1066
658,7,88,2,1067
41,14,6,2,1068
12,14,35,2,1071
12,11,8,2,1071
12,2,53,2,1072
12,1,20,2,1075
12,4,11,2,1076
12,2,2,2,1077
899,5,122,2,1079
899,10,10,2,1080
899,1,29,2,1080
899,1,12,2,1080
899,3,23,2,1081
899,2,2,2,1081
899,2,20,2,1084
899,2,45,2,1084
899,1,47,2,1087
899,2,16,2,1088
899,6,28,2,1089
899,11,37,2,1092
899,2,27,2,1093
899,1,59,2,1095
899,4,18,2,1097
899,3,30,2,1098
899,3,6,2,1099
899,6,16,2,1103
102,4,3,2,1103
102,5,9,2,1107
102,3,12,2,1108
102,2,13,2,1108
102,1,2,2,1111
102,3,2,2,1113
102,3,15,2,1113
102,2,12,2,1113
102,6,15,2,1115
102,9,24,2,1116
102,3,26,2,1118
102,4,37,2,1122
102,4,63,2,1123
102,6,88,2,1123
102,13,36,2,1127
102,5,10,2,1128
997,9,15,2,1128
997,5,122,2,1128
997,3,5,2,1131
997,9,12,2,1132
997,2,21,2,1133
997,6,23,2,1139
997,12,5,2,1145
997,3,25,2,1149
997,3,11,2,1152
997,4,77,2,1154
997,1,65,2,1154
997,9,22,2,1156
997,2,12,2,1156
997,6,58,2,1156
997,2,51,2,1158
997,3,22,2,1158
997,18,21,2,1159
997,6,23,2,1159
997,5,32,2,1159
997,1,8,2,1159
997,2,76,2,1161
997,1,206,2,1162
997,1,10,2,1163
997,6,38,2,1164
120,5,17,2,1164
120,4,7,2,1166
120,2,6,2,1166
120,5,31,2,1167
120,6,27,2,1167
120,3,2,2,1168
120,2,102,2,1169
120,2,3,2,1170
823,9,136,2,1172
823,2,18,2,1173
823,5,10,2,1174
823,5,11,2,1174
823,2,4,2,1176
823,2,39,2,1176
823,2,15,2,1176
823,2,19,2,1177
823,1,35,2,1177
823,3,23,2,1179
823,1,41,2,1180
823,5,2,2,1180
823,4,25,2,1185
823,1,79,2,1187
506,3,5,2,1187
506,5,145,2,1187
506,2,42,2,1187
506,1,17,2,1188
506,2,10,2,1190
506,3,15,2,1190
506,6,13,2,1190
945,3,31,2,1190
945,4,5,2,1192
945,2,111,2,1195
945,1,87,2,1196
945,8,40,2,1199
945,2,2,2,1199
945,5,33,2,1199
308,3,21,2,1211
308,1,29,2,1212
308,2,87,2,1213
308,3,148,2,1219
308,1,28,2,1221
308,2,19,2,1223
308,5,31,2,1229
308,3,108,2,1230
979,401,967,3,1231
678,338,626,3,1231
678,111,808,3,1231
678,130,862,3,1231
678,324,55,3,1234
678,77,4,3,1238
678,47,332,3,1238
645,1,20,2,1243
645,2,43,2,1243
645,3,31,2,1244
672,3,16,2,1244
672,4,2,2,1248
672,9,83,2,1248
672,2,3,2,1248
807,4,45,2,1251
807,4,39,2,1253
578,6,87,2,1254
578,8,51,2,1254
578,4,129,2,1255
578,7,60,2,1256
578,3,5,2,1258
578,4,33,2,1261
578,7,4,2,1263
578,4,37,2,1265
578,2,3,2,1265
73,6,26,1,1266
73,5,22,1,1266
73,1,23,1,1270
73,2,2,1,1274
73,4,15,1,1277
73,3,22,1,1277
148,7,958,3,1278
219,1,6,1,1280
846,4,42,2,1283
846,3,58,2,1284
846,3,64,2,1287
846,10,30,2,1288
846,4,49,2,1289
846,6,29,2,1295
453,2,95,2,1297
453,10,53,2,1297
968,1,82,1,1299
968,9,39,1,1299
968,2,9,1,1301
968,4,3,1,1302
968,2,2,1,1303
47,5,11,2,1304
47,2,79,2,1304
47,5,56,2,1305
514,6,15,2,1310
514,2,27,2,1312
514,2,17,2,1313
514,3,21,2,1314
514,3,17,2,1316
553,8,37,2,1320
553,9,17,2,1322
588,16,47,2,1325
588,2,153,2,1325
588,2,5,2,1329
588,2,28,2,1330
588,2,8,2,1331
588,3,22,2,1331
171,4,3,2,1334
171,2,7,2,1336
171,3,60,2,1337
171,4,95,2,1339
171,4,10,2,1340
171,12,62,2,1343
171,2,4,2,1345
171,4,37,2,1346
171,1,5,2,1347
126,3,39,2,1347
126,1,2,2,1347
126,1,11,2,1348
126,5,27,2,1355
126,2,35,2,1356
126,2,14,2,1357
126,5,34,2,1357
126,3,56,2,1357
126,4,9,2,1357
126,5,34,2,1358
13,8,20,2,1362
816,2,72,2,1362
816,4,91,2,1363
816,4,34,2,1365
816,1,8,2,1365
816,2,33,2,1366
511,1,7,2,1367
511,4,8,2,1371
511,4,31,2,1372
511,11,20,2,1374
466,3,46,2,1375
466,4,38,2,1375
466,1,31,2,1377
466,2,52,2,1377
466,6,6,2,1378
466,2,54,2,1382
466,2,58,2,1384
466,7,17,2,1384
897,3,50,2,1387
897,3,20,2,1387
897,2,63,2,1396
884,5,3,2,1396
884,2,36,2,1398
884,1,138,2,1398
963,9,22,2,1403
963,9,5,2,1404
963,3,27,2,1405
963,1,28,2,1407
963,3,28,2,1417
963,3,38,2,1422
963,2,24,2,1423
963,2,26,2,1425
963,2,21,2,1426
398,2,6,2,1430
398,3,24,2,1430
398,2,42,2,1430
398,11,68,2,1437
293,2,14,1,1438
293,3,8,1,1446
293,4,37,1,1447
293,11,39,1,1447
293,3,32,1,1448
293,6,16,1,1449
293,5,40,1,1450
293,3,20,1,1454
293,5,42,1,1457
880,1,35,2,1458
591,1,16,2,1463
591,8,28,2,1463
42,3,61,2,1469
42,4,4,2,1469
42,2,21,2,1470
42,5,38,2,1476
42,3,1,2,1477
42,3,29,2,1477
42,1,20,2,1478
761,7,68,2,1483
761,4,17,2,1490
761,10,37,2,1491
761,6,17,2,1496
761,2,59,2,1498
300,3,14,2,1498
300,3,157,2,1498
300,9,79,2,1505
300,2,38,2,1506
300,8,22,2,1510
300,7,40,2,1510
300,4,11,2,1510
300,7,19,2,1511
300,2,60,2,1511
300,2,25,2,1519
300,2,14,2,1523
300,1,46,2,1529
995,2,18,2,1530
995,2,34,2,1533
995,12,44,2,1536
995,4,39,2,1537
22,3,133,2,1541
22,4,11,2,1541
22,5,51,2,1542
69,2,4,1,1542
69,2,11,1,1548
69,2,25,1,1551
69,1,41,1,1557
69,6,82,1,1559
69,1,25,1,1562
69,3,10,1,1562
69,4,31,1,1563
69,2,140,1,1566
69,11,87,1,1569
416,1,14,2,1569
416,6,22,2,1574
416,8,15,2,1574
416,2,91,2,1579
663,16,59,2,1581
663,7,50,2,1583
663,4,23,2,1583
663,2,31,2,1584
663,3,53,2,1589
663,4,2,2,1592
663,1,90,2,1593
663,6,35,2,1595
663,7,39,2,1595
663,3,2,2,1597
663,4,35,2,1597
810,6,37,2,1597
810,10,5,2,1597
105,2,30,2,1598
105,7,20,2,1600
105,3,8,2,1610
105,1,30,2,1611
105,3,65,2,1612
105,1,23,2,1613
105,2,10,2,1616
105,3,59,2,1619
105,3,16,2,1622
105,8,24,2,1622
105,7,41,2,1627
828,979,28,3,1627
828,158,539,3,1630
907,1,37,2,1631
907,4,39,2,1632
907,6,92,2,1633
907,18,91,2,1636
907,4,17,2,1638
907,19,31,2,1639
222,5,31,2,1640
222,3,23,2,1640
222,11,16,2,1644
222,7,25,2,1645
222,2,37,2,1649
222,2,21,2,1650
222,7,21,2,1654
222,2,21,2,1654
222,7,56,2,1655
222,3,68,2,1655
222,2,6,2,1656
222,1,4,2,1656
222,2,42,2,1657
222,1,33,2,1659
222,2,44,2,1660
981,6,70,2,1664
981,1,16,2,1664
981,2,12,2,1665
981,2,24,2,1667
981,2,2,2,1668
981,4,7,2,1670
981,4,26,2,1670
981,2,4,2,1674
981,2,2,2,1674
981,4,10,2,1674
981,3,19,2,1675
981,2,5,2,1679
981,2,26,2,1679
981,3,16,2,1680
981,2,34,2,1682
288,3,102,2,1684
288,4,55,2,1685
479,4,21,2,1685
479,1,1,2,1687
479,5,71,2,1687
479,3,30,2,1687
479,3,49,2,1687
479,2,64,2,1688
479,2,11,2,1689
479,3,2,2,1691
479,11,3,2,1692
394,403,919,3,1692
681,17,709,3,1695
681,72,121,3,1695
681,321,458,3,1696
681,198,345,3,1700
681,220,237,3,1701
681,246,244,3,1707
681,681,641,3,1708
628,4,4,2,1709
628,2,15,2,1711
628,2,11,2,1715
851,1,88,2,1716
851,2,8,2,1718
851,6,112,2,1720
851,10,47,2,1721
851,6,21,2,1721
851,1,45,2,1722
851,6,8,2,1723
851,4,5,2,1724
851,1,17,2,1727
851,3,3,2,1727
851,2,3,2,1728
851,2,10,2,1729
851,2,9,2,1730
851,3,22,2,1730
851,2,41,2,1737
851,2,30,2,1742
851,2,11,2,1746
851,2,107,2,1749
851,1,82,2,1756
851,11,52,2,1764
851,4,28,2,1764
851,6,25,2,1764
990,4,5,2,1768
990,5,20,2,1771
990,7,78,2,1778
990,16,4,2,1786
989,3,45,2,1786
989,3,55,2,1787
989,2,16,2,1787
989,1,17,2,1789
152,2,8,2,1790
152,4,11,2,1792
751,7,34,2,1794
751,4,13,2,1795
751,3,16,2,1796
722,214,187,3,1796
722,352,340,3,1798
722,244,73,3,1799
722,1378,243,3,1800
722,279,93,3,1801
722,605,134,3,1803
722,461,101,3,1806
513,4,17,2,1809
513,14,10,2,1811
513,2,47,2,1813
513,1,10,2,1815
513,10,10,2,1816
513,2,14,2,1819
513,1,22,2,1820
513,2,24,2,1820
513,4,12,2,1824
513,5,17,2,1825
828,141,247,3,1827
828,49,159,3,1827
828,13,62,3,1832
828,65,155,3,1832
891,7,8,2,1833
891,1,12,2,1833
891,5,44,2,1834
891,3,3,2,1839
891,1,30,2,1840
891,3,27,2,1841
891,4,13,2,1845
891,1,7,2,1846
891,2,2,2,1848
891,5,129,2,1849
891,2,71,2,1849
891,1,55,2,1851
891,4,50,2,1853
891,4,74,2,1855
891,7,10,2,1857
891,5,29,2,1862
891,4,4,2,1865
918,4,67,2,1867
918,7,8,2,1868
918,2,23,2,1869
918,4,28,2,1873
918,2,4,2,1873
918,2,71,2,1874
918,2,17,2,1878
918,1,2,2,1879
918,2,130,2,1880
117,1,12,2,1880
32,284,46,3,1880
32,89,347,3,1885
32,296,405,3,1887
32,246,424,3,1890
32,144,193,3,1890
32,258,487,3,1891
32,731,318,3,1896
32,39,159,3,1897
32,89,568,3,1897
32,361,91,3,1897
32,24,334,3,1899
32,167,56,3,1900
639,1,15,2,1903
498,1,3,2,1904
777,3,8,2,1906
777,2,5,2,1907
777,12,34,2,1908
777,1,4,2,1912
777,10,21,2,1913
777,4,6,2,1914
777,6,7,2,1915
932,2,17,1,1916
932,1,51,1,1916
299,64,154,3,1920
299,788,3,3,1922
299,84,353,3,1923
299,227,297,3,1931
299,166,593,3,1931
299,253,502,3,1931
299,163,454,3,1933
299,439,862,3,1934
299,183,31,3,1937
299,475,332,3,1939
299,579,184,3,1942
299,381,953,3,1947
299,323,192,3,1947
70,362,59,3,1947
70,526,90,3,1952
70,40,687,3,1956
70,101,66,3,1956
637,3,27,1,1957
637,5,70,1,1958
637,5,157,1,1959
637,1,7,1,1960
637,2,36,1,1962
637,4,59,1,1962
637,1,23,1,1964
637,6,49,1,1964
637,1,27,1,1964
637,5,20,1,1966
637,2,5,1,1967
637,2,15,1,1967
584,2,13,2,1968
655,3,12,2,1970
530,3,21,2,1971
530,4,14,2,1973
530,1,6,2,1974
530,1,40,2,1974
530,2,28,2,1974
530,2,25,2,1975
530,2,34,2,1978
530,8,9,2,1982
530,2,86,2,1983
530,10,36,2,1983
193,825,159,3,1985
193,214,206,3,1986
660,1,7,2,1989
660,2,63,2,1990
459,6,41,2,1991
459,2,3,2,1994
459,16,6,2,1995
78,171,456,3,1996
78,162,465,3,1997
78,79,281,3,1998
429,4,28,2,1998
429,1,15,2,1999
429,4,36,2,1999
429,1,7,2,2000
824,1,3,1,2002
824,3,7,1,2007
359,2,3,2,2008
538,2,34,2,2009
538,1,33,2,2010
538,3,94,2,2011
538,2,32,2,2011
745,10,15,2,2013
745,7,17,2,2016
745,2,25,2,2024
436,11,18,2,2025
259,4,501,3,2028
259,404,55,3,2029
259,809,40,3,2030
259,72,195,3,2031
166,586,37,3,2032
166,86,21,3,2032
166,178,267,3,2035
166,1155,16,3,2036
166,3,74,3,2037
166,257,91,3,2042
965,2,5,2,2045
248,5,128,2,2046
248,2,71,2,2051
248,3,30,2,2060
287,2,2,1,2062
287,4,44,1,2065
746,9,13,2,2072
761,2,19,2,2073
761,4,54,2,2075
492,2,56,2,2075
723,7,124,1,2077
723,3,30,1,2079
723,2,9,1,2082
214,3,14,1,2084
214,1,8,1,2085
214,1,15,1,2087
214,8,12,1,2089
214,4,121,1,2089
285,2,2,2,2090
285,3,37,2,2091
285,3,15,2,2092
285,7,37,2,2094
285,2,74,2,2096
285,2,3,2,2101
232,1,4,2,2101
232,2,15,2,2103
232,3,11,2,2104
447,2,30,2,2107
447,1,14,2,2111
447,5,4,2,2115
447,1,19,2,2131
447,4,2,2,2132
447,6,5,2,2138
447,3,8,2,2142
447,11,14,2,2143
178,5,26,1,2144
178,2,2,1,2144
178,6,5,1,2146
178,3,1,1,2147
178,8,17,1,2149
178,1,3,1,2151
178,8,3,1,2154
178,7,5,1,2154
545,1,15,2,2159
545,3,26,2,2159
545,4,38,2,2160
508,3,143,1,2161
427,3,36,2,2162
427,5,11,2,2164
46,2,25,2,2164
46,18,11,2,2166
46,2,66,2,2170
46,6,23,2,2172
46,4,8,2,2173
46,2,64,2,2174
46,6,39,2,2176
46,2,3,2,2176
46,7,54,2,2177
46,5,6,2,2178
46,1,4,2,2179
46,10,21,2,2179
46,3,4,2,2183
5,10,14,2,2183
5,4,9,2,2184
824,2,17,1,2185
824,7,11,1,2185
824,2,1,1,2187
824,3,25,1,2191
824,2,108,1,2191
824,5,40,1,2191
824,6,22,1,2191
824,3,7,1,2191
824,3,26,1,2192
824,16,19,1,2194
824,3,24,1,2195
824,3,13,1,2196
863,4,3,2,2198
863,7,6,2,2200
863,5,3,2,2202
863,7,41,2,2205
882,1,23,1,2207
882,4,19,1,2208
889,2,12,2,2209
980,2,18,2,2209
980,3,57,2,2213
980,1,4,2,2216
980,1,2,2,2217
980,21,7,2,2218
980,2,10,2,2219
980,3,30,2,2220
980,8,43,2,2222
980,4,64,2,2223
980,3,1,2,2223
980,5,48,2,2225
819,856,1,3,2229
819,185,206,3,2230
819,263,136,3,2230
819,68,266,3,2232
819,848,159,3,2234
819,409,631,3,2235
819,619,111,3,2237
819,61,136,3,2239
819,210,140,3,2241
819,47,56,3,2244
819,474,45,3,2244
819,469,43,3,2244
819,125,181,3,2246
819,297,154,3,2248
166,64,111,3,2250
797,63,546,3,2254
797,532,185,3,2256
797,200,367,3,2256
797,36,388,3,2258
776,5,2,2,2259
983,1,66,2,2260
983,1,1,2,2262
602,1,1,2,2266
602,7,41,2,2266
602,2,1,2,2270
602,2,19,2,2270
602,2,24,2,2277
602,1,6,2,2278
602,1,24,2,2280
602,7,21,2,2281
602,4,2,2,2282
602,8,23,2,2284
393,228,403,3,2285
393,609,786,3,2287
532,2,14,2,2288
532,3,48,2,2290
659,3,26,2,2293
659,2,16,2,2295
659,5,48,2,2296
659,7,5,2,2300
659,2,28,2,2308
659,5,10,2,2309
198,1,39,2,2311
198,1,31,2,2312
198,2,54,2,2312
901,2,20,2,2312
901,4,25,2,2318
901,3,29,2,2319
901,2,13,2,2320
901,3,14,2,2323
824,6,8,1,2324
824,11,9,1,2324
824,4,228,1,2325
824,5,93,1,2325
824,5,62,1,2326
824,5,152,1,2326
824,1,10,1,2327
824,6,15,1,2328
824,3,7,1,2330
824,12,9,1,2333
824,3,9,1,2334
824,1,1,1,2335
839,3,27,2,2337
839,1,3,2,2339
839,11,5,2,2343
674,3,19,2,2344
409,9,159,2,2346
409,6,21,2,2348
409,4,53,2,2348
140,69,999,3,2349
140,394,936,3,2349
140,119,52,3,2349
659,2,20,2,2350
659,3,13,2,2350
659,3,27,2,2354
659,2,15,2,2354
659,2,5,2,2356
774,8,52,2,2358
774,5,9,2,2359
774,6,15,2,2361
629,4,26,2,2365
629,10,9,2,2365
629,3,5,2,2366
629,11,58,2,2368
629,12,17,2,2368
688,3,35,2,2369
