jobid,total_wait,priority
642,2724,2
643,1700,2
644,1701,2
645,4020,2
646,2781,2
647,2775,2
648,2786,2
649,16204,2
650,2807,2
651,1743,2
652,1746,2
653,1749,2
654,1758,2
655,1763,2
656,1766,2
657,1771,2
658,1769,2
659,1771,2
660,1775,2
661,29916,2
662,7463,2
663,990,2
664,422,2
665,993,2
666,2848,2
667,1789,2
668,1794,2
669,44342,2
670,1810,2
671,2862,2
672,9757,2
673,16623,2
674,1814,2
675,5679,2
676,1830,2
677,2896,2
678,9853,2
679,1020,2
680,5723,2
681,1864,2
682,4215,2
683,7615,2
684,12896,2
685,5794,2
686,9964,2
687,1888,2
688,30365,2
689,47239,2
690,26690,2
691,46083,2
692,447,2
693,457,2
694,452,2
695,3006,2
696,3009,2
697,49230,2
698,457,2
699,13316,2
700,1064,2
701,1067,2
702,456,2
703,48611,2
704,38849,2
705,6065,2
706,8015,2
707,458,2
708,461,2
709,8037,2
710,6092,2
711,6090,2
712,1961,2
713,3071,2
714,462,2
715,1072,2
716,461,2
717,462,2
718,3083,2
719,1967,2
720,4472,2
721,463,2
722,1972,2
723,464,2
724,3103,2
725,1082,2
726,1983,2
727,1993,2
728,468,2
729,472,2
730,1996,2
731,478,2
732,1998,2
733,2002,2
734,3125,2
735,3124,2
736,3127,2
737,3133,2
738,3136,2
739,476,2
740,3147,2
741,3154,2
742,6167,2
743,3167,2
744,3157,2
745,4529,2
746,3156,2
747,3165,2
748,4541,2
749,1111,2
750,476,2
751,478,2
752,10659,2
753,478,2
754,3232,2
755,28096,2
756,483,2
757,3236,2
758,1127,2
759,482,2
760,481,2
761,478,2
762,480,2
763,1123,2
764,3253,2
765,476,2
766,480,2
767,478,2
768,3255,2
769,480,2
770,481,2
771,478,2
772,479,2
773,23734,2
774,3261,2
775,479,2
776,1133,2
777,3263,2
778,1130,2
779,1135,2
780,23860,2
781,3284,2
782,4667,2
783,484,2
784,10997,2
785,44726,2
786,6382,2
787,3303,2
788,494,2
789,1146,2
790,1146,2
791,1150,2
792,3308,2
793,14419,2
794,3312,2
795,1157,2
796,11118,2
797,24195,2
798,31900,2
799,18966,2
800,8449,2
801,24323,2
802,34770,2
803,8556,2
804,19234,2
805,8608,2
806,28796,2
807,19380,2
808,14882,2
809,1177,1
810,1176,2
811,2160,2
812,2165,2
813,2171,2
814,4880,2
815,4894,2
816,11569,2
817,3436,2
818,1198,2
819,1200,2
820,39365,2
821,11632,2
822,4928,2
823,2204,2
824,4941,2
825,15254,2
826,1221,2
827,19984,2
828,2241,2
829,3508,2
830,2245,2
831,3504,2
832,3518,2
833,29136,2
834,3531,2
835,2271,2
836,2278,2
837,1256,2
838,2288,2
839,2305,2
840,2314,2
841,2306,2
842,3576,2
843,5049,2
844,3580,2
845,3583,2
846,1287,2
847,2319,2
848,3586,2
849,1283,2
850,1285,2
851,2328,2
852,2328,2
853,1293,2
854,1300,2
855,6871,2
856,1303,2
857,3611,2
858,2350,2
859,3658,3
860,20519,3
861,5418,3
862,47806,3
863,1361,3
864,1429,3
865,20798,3
866,2382,3
867,3662,2
868,3672,2
869,20656,2
870,1338,2
871,1334,2
872,1341,2
873,1342,2
874,1340,2
875,1343,2
876,1345,2
877,2409,2
878,1349,2
879,1354,2
880,1355,2
881,1354,2
882,1356,2
883,1358,2
884,1361,2
885,29547,2
886,1361,2
887,32719,2
888,2421,2
889,570,2
890,32792,2
891,1373,2
892,1376,2
893,7096,2
894,1384,2
895,1386,2
896,1388,2
897,1392,2
898,5258,2
899,7149,2
900,2468,1
901,583,1
902,583,1
903,1410,1
904,1415,2
905,590,2
906,9424,2
907,1414,2
908,5289,2
909,9424,2
910,5302,1
911,1420,1
912,1429,1
913,2500,1
914,5344,2
915,1436,2
916,9480,2
917,2511,2
918,2513,2
919,1446,2
920,5399,2
921,1452,2
922,5421,2
923,5423,2
924,5430,2
925,5431,2
926,2534,2
927,5445,2
928,35797,2
929,5581,3
930,22280,3
931,7575,3
932,12828,3
933,1519,3
934,13183,3
935,12947,3
936,2809,3
937,6217,3
938,1160,3
939,2643,3
940,2605,2
941,10002,2
942,10009,2
943,1498,2
944,1497,2
945,2609,2
946,7583,2
947,1494,2
948,1502,2
949,4000,2
950,4005,2
951,4007,2
952,2620,2
953,610,2
954,610,2
955,2629,2
956,614,2
957,2641,2
958,5647,2
959,612,2
960,5651,2
961,1521,2
962,36214,2
963,2640,2
964,1524,2
965,2648,2
966,1527,2
967,621,2
968,1526,2
969,1530,2
970,2650,2
971,1530,2
972,2655,2
973,1539,2
974,2664,2
975,36271,2
976,2671,2
977,2672,2
978,2674,2
979,633,2
980,4054,2
981,1549,2
982,2682,2
983,5694,2
984,631,2
985,4069,2
986,2706,2
987,5712,2
988,2714,2
989,2724,2
990,4077,2
991,634,2
992,2721,2
993,2727,1
994,2730,1
995,10169,1
996,640,2
997,644,2
998,2743,2
999,2744,2
1000,2746,2
1001,2745,2
1002,642,2
1003,644,2
1004,645,2
1005,2751,2
1006,2754,2
1007,649,2
1008,650,2
1009,645,2
1010,645,2
1011,5780,2
1012,4121,2
1013,2758,2
1014,7714,2
1015,4118,1
1016,2763,1
1017,4129,2
1018,2766,2
1019,5794,2
1020,2777,2
1021,2777,2
1022,2779,2
1023,652,2
1024,5815,2
1025,653,2
1026,2777,2
1027,5817,2
1028,47338,2
1029,655,2
1030,651,2
1031,4159,2
1032,651,2
1033,1602,2
1034,1609,2
1035,13711,2
1036,5864,2
1037,10457,2
1038,658,2
1039,1611,2
1040,31220,2
1041,657,2
1042,664,2
1043,667,2
1044,1614,2
1045,1618,2
1046,660,2
1047,665,2
1048,10568,2
1049,661,2
1050,899,3
1051,31539,3
1052,3817,3
1053,18673,3
1054,7980,2
1055,40500,2
1056,693,3
1057,8015,3
1058,1864,3
1059,14134,2
1060,23875,2
1061,28130,2
1062,8039,2
1063,49403,3
1064,947,3
1065,8475,3
1066,42012,2
1067,10841,1
1068,44270,1
1069,14307,1
1070,8159,1
1071,4337,1
1072,24148,1
1073,14427,1
1074,4347,1
1075,1662,1
1076,36747,2
1077,687,2
1078,4363,2
1079,698,2
1080,4371,2
1081,11011,2
1082,2922,2
1083,4389,2
1084,2925,2
1085,4400,2
1086,696,2
1087,24310,2
1088,2935,2
1089,698,2
1090,706,2
1091,2945,2
1092,14682,2
1093,705,2
1094,4431,2
1095,704,2
1096,1699,2
1097,1707,2
1098,4436,2
1099,4437,2
1100,2964,2
1101,2962,2
1102,1710,2
1103,2967,2
1104,1713,2
1105,716,2
1106,1715,2
1107,2973,2
1108,1723,2
1109,36933,2
1110,717,2
1111,721,2
1112,1724,2
1113,726,2
1114,1731,2
1115,1735,2
1116,1735,2
1117,1739,1
1118,1739,1
1119,1747,2
1120,728,2
1121,4481,2
1122,1747,2
1123,1752,2
1124,733,2
1125,4496,2
1126,733,2
1127,1761,2
1128,1759,2
1129,740,2
1130,1767,2
1131,1770,2
1132,740,2
1133,1772,2
1134,4510,2
1135,1776,2
1136,1782,2
1137,1780,2
1138,1794,2
1139,8450,2
1140,1786,2
1141,3066,2
1142,1791,2
1143,1791,2
1144,3057,2
1145,754,2
1146,1792,2
1147,754,2
1148,762,2
1149,1796,2
1150,1800,2
1151,6334,2
1152,3068,2
1153,4543,2
1154,766,2
1155,771,2
1156,776,2
1157,1811,2
1158,768,2
1159,4570,2
1160,768,2
1161,768,2
1162,769,2
1163,770,2
1164,1828,2
1165,3111,2
1166,1832,2
1167,1835,2
1168,781,2
1169,1836,2
1170,778,2
1171,778,2
1172,778,2
1173,3117,2
1174,1839,2
1175,781,2
1176,4598,2
1177,3123,2
1178,3128,2
1179,785,2
1180,43258,2
1181,791,2
1182,790,2
1183,15362,1
1184,790,1
1185,802,1
1186,795,1
1187,29004,1
1188,792,1
1189,6493,2
1190,800,2
1191,796,2
1192,798,2
1193,1858,2
1194,48752,2
1195,800,2
1196,795,2
1197,800,2
1198,1859,2
1199,804,2
1200,3146,2
1201,1857,2
1202,1858,1
1203,1861,1
1204,3152,1
1205,1864,1
1206,809,1
1207,8779,1
1208,8785,1
1209,8796,1
1210,815,1
1211,11800,1
1212,8809,1
1213,4672,1
1214,815,1
1215,1875,1
1216,817,1
1217,816,1
1218,4685,1
1219,1882,1
1220,820,1
1221,823,2
1222,824,2
1223,1887,2
1224,823,2
1225,3182,2
1226,827,2
1227,1889,2
1228,3180,2
1229,4694,2
1230,3187,2
1231,8837,2
1232,828,2
1233,831,2
1234,829,2
1235,3183,2
1236,8847,2
1237,3183,2
1238,845,2
1239,830,2
1240,6591,2
1241,5159,3
1242,16270,3
1243,837,2
1244,20665,2
1245,836,2
1246,4752,2
1247,1904,2
1248,20735,2
1249,4779,2
1250,35046,2
1251,4795,2
1252,4795,2
1253,4815,2
1254,4823,2
1255,1929,2
1256,29466,2
1257,4834,2
1258,1931,2
1259,4842,2
1260,37455,2
1261,1937,2
1262,9081,2
1263,856,2
1264,32724,2
1265,12167,2
1266,857,2
1267,860,2
1268,12182,2
1269,1960,2
1270,9159,2
1271,12283,2
1272,6800,2
1273,35418,2
1274,32867,2
1275,29858,2
1276,45100,2
1277,6816,2
1278,29889,2
1279,45106,2
1280,3309,2
1281,12393,3
1282,7450,3
1283,3407,3
1284,12652,3
1285,41096,2
1286,33141,3
1287,22268,3
1288,21824,2
1289,16614,2
1290,9390,2
1291,6944,2
1292,6944,2
1293,3357,2
1294,6951,2
1295,6957,2
1296,1995,2
1297,5018,2
1298,2002,2
1299,889,2
1300,893,2
1301,3388,2
1302,3392,2
1303,21981,2
1304,898,2
1305,2011,2
1306,930,3
1307,2014,2
1308,907,2
1309,3399,2
1310,2017,2
1311,21978,2
1312,898,2
1313,901,2
1314,5036,2
1315,900,2
1316,902,2
1317,2023,2
1318,2022,2
1319,910,2
1320,6978,2
1321,907,2
1322,906,1
1323,908,1
1324,2025,2
1325,910,2
1326,2027,2
1327,2039,2
1328,909,2
1329,2033,2
1330,2032,2
1331,913,2
1332,5058,2
1333,3418,2
1334,5060,2
1335,3421,2
1336,2040,2
1337,2047,2
1338,2041,2
1339,2043,1
1340,2046,1
1341,2049,1
1342,2046,1
1343,2049,1
1344,2050,1
1345,927,1
1346,3428,1
1347,933,1
1348,2062,1
1349,3431,1
1350,3437,1
1351,5076,1
1352,2067,1
1353,2074,2
1354,2067,2
1355,2066,2
1356,2067,2
1357,3438,2
1358,2072,2
1359,2077,2
1360,2075,2
1361,2079,2
1362,2082,2
1363,2086,2
1364,3447,2
1365,2086,2
1366,2092,2
1367,2088,2
1368,2089,2
1369,2094,2
1370,2093,2
1371,2096,2
1372,2098,2
1373,2102,2
1374,2105,2
1375,5102,2
1376,3464,2
1377,2106,2
1378,3481,2
1379,2110,2
1380,9601,2
1381,2117,2
1382,2114,2
1383,949,2
1384,2119,2
1385,3479,2
1386,945,2
1387,9614,2
1388,2110,2
1389,950,2
1390,2117,2
1391,5144,2
1392,9627,1
1393,3923,3
1394,12893,2
1395,3485,2
1396,947,2
1397,5155,2
1398,2124,2
1399,950,2
1400,5155,2
1401,12932,2
1402,950,1
1403,5173,1
1404,9692,2
1405,2140,2
1406,956,2
1407,7132,2
1408,9712,2
1409,2139,2
1410,955,2
1411,3511,2
1412,42519,2
1413,22692,2
1414,5204,2
1415,27107,2
1416,2144,2
1417,43584,2
1418,957,2
1419,954,2
1420,3536,2
1421,956,2
1422,9848,2
1423,2156,2
1424,2161,2
1425,2160,2
1426,2161,2
1427,45121,2
1428,2162,2
1429,978,2
1430,2166,2
1431,13278,2
1432,23018,2
1433,5277,2
1434,44424,2
1435,13368,2
1436,10003,2
1437,7306,2
1438,961,2
1439,35970,2
1440,966,2
1441,27444,2
1442,13449,2
1443,10057,2
1444,23181,2
1445,5331,2
1446,7358,2
1447,27473,2
1448,7376,2
1449,7390,2
1450,7389,2
1451,7392,2
1452,5380,2
1453,39846,2
1454,50088,2
1455,38095,2
1456,43594,2
1457,30907,2
1458,13661,2
1459,13658,2
1460,3653,2
1461,3670,2
1462,3675,2
1463,36073,2
1464,3681,2
1465,13849,2
1466,3686,2
1467,5479,2
1468,3693,2
1469,987,2
1470,10359,2
1471,2239,2
1472,23606,2
1473,3710,2
1474,2236,2
1475,2241,2
1476,3711,2
1477,3720,2
1478,2238,2
1479,992,2
1480,18483,2
1481,991,2
1482,31056,2
1483,18524,2
1484,1001,2
1485,38159,2
1486,23660,2
1487,3720,2
1488,3730,2
1489,5532,2
1490,2257,2
1491,997,2
1492,996,2
1493,1008,2
1494,998,2
1495,2259,2
1496,1000,2
1497,3740,2
1498,2261,2
1499,2265,2
1500,1008,2
1501,1004,2
1502,10513,2
1503,1006,2
1504,2262,2
1505,1006,2
1506,1009,2
1507,2262,2
1508,1008,2
1509,1014,2
1510,18761,2
1511,1009,2
1512,2277,2
1513,1018,2
1514,2268,1
1515,1013,1
1516,3749,2
1517,1022,2
1518,2280,2
1519,3770,2
1520,1022,2
1521,1024,2
1522,3752,1
1523,2278,1
1524,1019,1
1525,1022,1
1526,1022,1
1527,2281,1
1528,1021,1
1529,5572,1
1530,6455,3
1531,5674,3
1532,23924,3
1533,1024,2
1534,1027,2
1535,1026,2
1536,2290,2
1537,1029,2
1538,1029,2
1539,2292,2
1540,1040,2
1541,1031,2
1542,1039,2
1543,2298,2
1544,3772,2
1545,3772,2
1546,1035,2
1547,18942,2
1548,1035,2
1549,1037,2
1550,3774,2
1551,1042,1
1552,1039,1
1553,1039,1
1554,1043,1
1555,1045,1
1556,1042,1
1557,1043,1
1558,1049,2
1559,7712,2
1560,1038,2
1561,1086,3
1562,2766,3
1563,1599,3
1564,8988,3
1565,23991,2
1566,2308,2
1567,1047,2
1568,2310,2
1569,38138,2
1570,2315,2
1571,3789,2
1572,2316,2
1573,3783,2
1574,10621,2
1575,2316,2
1576,1049,2
1577,27901,2
1578,5593,2
1579,3782,2
1580,3791,2
1581,3797,2
1582,27928,2
1583,1053,2
1584,2321,2
1585,3791,2
1586,2321,2
1587,2327,2
1588,38192,2
1589,2331,2
1590,24173,2
1591,24202,2
1592,24212,2
1593,2335,2
1594,3823,2
1595,5645,2
1596,2338,2
1597,5645,2
1598,2339,2
1599,1060,2
1600,1061,2
1601,1064,2
1602,2343,2
1603,1061,2
1604,2341,2
1605,1062,2
1606,7816,2
1607,2344,2
1608,2345,2
1609,1068,2
1610,2338,2
1611,2339,2
1612,1067,2
1613,2342,2
1614,2343,2
1615,2343,1
1616,2723,3
1617,1380,3
1618,4393,3
1619,2907,3
1620,10858,3
1621,3996,3
1622,6413,3
1623,14994,3
1624,1058,2
1625,2350,2
1626,1058,2
1627,7858,2
1628,1059,2
1629,7859,2
1630,1058,2
1631,38285,2
1632,1065,1
1633,28135,2
1634,14579,2
1635,7866,2
1636,7874,2
1637,31334,2
1638,14610,2
1639,5696,2
1640,1059,2
1641,28223,2
1642,1065,2
1643,5712,2
1644,10904,2
1645,7912,2
1646,2348,2
1647,5711,2
1648,1062,2
1649,46364,2
1650,1058,2
1651,3849,2
1652,47954,2
1653,1058,2
1654,7946,2
1655,1060,2
1656,7945,2
1657,1065,2
1658,7949,2
1659,14769,2
1660,7975,2
1661,3858,2
1662,1064,2
1663,1064,2
1664,3861,2
1665,1064,2
1666,7993,2
1667,1060,2
1668,3859,2
1669,1060,2
1670,1059,2
1671,8000,2
1672,1063,2
1673,3861,1
1674,1062,1
1675,1063,1
1676,1066,1
1677,14825,2
1678,1066,2
1679,2360,2
1680,1064,2
1681,2359,2
1682,1062,2
1683,3873,2
1684,1063,2
1685,3869,2
1686,1063,2
1687,3869,2
1688,1064,2
1689,3877,2
1690,2357,2
1691,2357,2
1692,3882,2
1693,3882,2
1694,3888,2
1695,1061,2
1696,3881,2
1697,1062,2
1698,34120,2
1699,1063,2
1700,1065,2
1701,3892,2
1702,1067,2
1703,28373,2
1704,3907,2
1705,3910,2
1706,11018,2
1707,1069,2
1708,31528,2
1709,1067,2
1710,1068,2
1711,3919,2
1712,3924,2
1713,19876,2
1714,8063,2
1715,3931,2
1716,3932,2
1717,36458,2
1718,1074,2
1719,3941,2
1720,3945,2
1721,44798,2
1722,3963,2
1723,3965,2
1724,24825,2
1725,3972,2
1726,8155,2
1727,24889,2
1728,3988,2
1729,1086,2
1730,48652,2
1731,44203,2
1732,28773,2
1733,1088,2
1734,36658,2
1735,28811,2
1736,36687,2
1737,25179,2
1738,15309,2
1739,11334,2
1740,8266,2
1741,34509,2
1742,11384,2
1743,8306,2
1744,20587,2
1745,25341,2
1746,32007,2
1747,11511,2
1748,11522,2
1749,15529,2
1750,38684,2
1751,15644,2
1752,4104,2
1753,15719,2
1754,2462,2
1755,38740,2
1756,4112,2
1757,2472,2
1758,11703,2
1759,1108,2
1760,1108,2
1761,4130,2
1762,46660,2
1763,6078,2
1764,6083,2
1765,1115,2
1766,6085,2
1767,4134,2
1768,1116,2
1769,2496,2
1770,11751,2
1771,4140,1
1772,2495,1
1773,4141,1
1774,2502,1
1775,1115,2
1776,1116,2
1777,11751,2
1778,1117,2
1779,11751,2
1780,1122,2
1781,4136,2
1782,2498,2
1783,4137,2
1784,1118,2
1785,4147,2
1786,11758,2
1787,4146,2
1788,2506,2
1789,1125,2
1790,25704,2
1791,15823,2
1792,2502,2
1793,1122,2
1794,4135,2
1795,2505,2
1796,2505,2
1797,1126,2
1798,2500,2
1799,2502,2
1800,25716,2
1801,1121,2
1802,1121,2
1803,1120,2
1804,1124,2
1805,2506,2
1806,2507,2
1807,4144,2
1808,4148,2
1809,2506,2
1810,4144,2
1811,4149,2
1812,2513,2
1813,4151,2
1814,1125,2
1815,1129,2
1816,1122,2
1817,2504,2
1818,1121,2
1819,1122,2
1820,1125,2
1821,1124,2
1822,4145,2
1823,4151,2
1824,1127,2
1825,2506,2
1826,2508,2
1827,1129,2
1828,1130,2
1829,1142,2
1830,1133,2
1831,1130,2
1832,1136,2
1833,2509,2
1834,4142,2
1835,1139,2
1836,1139,2
1837,1134,2
1838,1134,2
1839,1134,2
1840,1140,2
1841,2508,2
1842,1140,2
1843,4144,2
1844,1151,2
1845,1142,2
1846,1143,2
1847,1142,1
1848,1144,1
1849,1146,2
1850,1155,2
1851,1150,2
1852,1148,2
1853,1161,2
1854,1154,2
1855,2512,2
1856,1152,2
1857,1160,2
1858,1165,2
1859,1155,2
1860,1158,2
1861,1587,3
1862,1221,3
1863,1478,3
1864,2865,3
1865,26007,3
1866,2522,2
1867,1164,2
1868,2527,2
1869,1165,2
1870,8636,2
1871,1167,2
1872,6111,2
1873,8650,2
1874,8664,2
1875,8656,2
1876,4187,2
1877,1170,2
1878,26039,2
1879,6124,2
1880,21509,2
1881,6139,2
1882,1179,2
1883,1178,2
1884,1181,2
1885,21545,2
1886,1178,2
1887,1177,2
1888,1181,2
1889,1181,2
1890,4211,2
1891,1180,2
1892,1188,2
1893,8734,2
1894,1185,2
1895,21616,2
1896,12015,2
1897,1186,2
1898,21666,2
1899,8761,2
1900,21673,2
1901,1191,2
1902,48681,1
1903,41561,1
1904,16386,1
1905,29550,1
1906,26136,1
1907,1190,1
1908,1191,2
1909,21767,2
1910,1195,2
1911,8839,2
1912,8843,2
1913,2573,2
1914,2575,2
1915,8872,2
1916,4275,2
1917,2585,2
1918,4275,2
1919,6255,2
1920,1196,2
1921,32500,2
1922,1198,2
1923,8910,2
1924,1208,2
1925,16599,2
1926,42628,2
1927,21918,2
1928,32518,2
1929,37044,2
1930,12290,2
1931,12303,2
1932,1208,2
1933,12308,2
